company,job_title,location,remote_or_hybrid,posting_date,source,job_url,score,list_source,stage1_pass_reasons,score_breakdown
BEAM THERAPEUTICS,Medical Science Liaison – Chicago Region,Chicago/Minneapolis,onsite,2026-01-26,greenhouse,https://job-boards.greenhouse.io/beamtherapeutics/jobs/8350418002,3,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 0, ""nice_hits"": 0, ""penalties"": -2}"
BEAM THERAPEUTICS,Medical Science Liaison – Mid-Atlantic Region,DC/Baltimore/Richmond,onsite,2026-01-27,greenhouse,https://job-boards.greenhouse.io/beamtherapeutics/jobs/8350150002,3,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 0, ""nice_hits"": 0, ""penalties"": -2}"
BEAM THERAPEUTICS,"Senior Director, Value, Evidence & Development Strategy","Cambridge, MA",onsite,2026-01-22,greenhouse,https://job-boards.greenhouse.io/beamtherapeutics/jobs/8384849002,2,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 2, ""strong_hits"": 0, ""medium_hits"": 1, ""nice_hits"": 0, ""penalties"": -2}"
BEAM THERAPEUTICS,"Vice President, Compliance","Cambridge, MA",onsite,2026-01-27,greenhouse,https://job-boards.greenhouse.io/beamtherapeutics/jobs/8392998002,5,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 1, ""nice_hits"": 0, ""penalties"": -2}"
NATERA,ABMGG Laboratory Director,"Austin, TX",onsite,2026-01-27,greenhouse,https://job-boards.greenhouse.io/natera/jobs/5688076004,5,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 1, ""nice_hits"": 0, ""penalties"": -2}"
NATERA,Associate Laboratory Director,"Austin, TX",onsite,2026-01-26,greenhouse,https://job-boards.greenhouse.io/natera/jobs/5712966004,5,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 1, ""nice_hits"": 0, ""penalties"": -2}"
NATERA,Associate Scientist R&D,South San Francisco,onsite,2026-01-26,greenhouse,https://job-boards.greenhouse.io/natera/jobs/5422443004,8,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 4, ""nice_hits"": 0, ""penalties"": -5}"
NATERA,Clinical Genomic Specialist,"Annapolis, MD; Baltimore, MD; Harrisburg, PA; Virginia Beach; Washington D.C",onsite,2026-01-26,greenhouse,https://job-boards.greenhouse.io/natera/jobs/5734098004,7,targeted_list_combined.json,"[""title_match"", ""weak_domain_signal""]","{""title_bonus"": 5, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 1, ""nice_hits"": 0, ""penalties"": -5}"
NATERA,Lab Associate,"Austin, TX",onsite,2026-01-27,greenhouse,https://job-boards.greenhouse.io/natera/jobs/5753541004,5,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 1, ""nice_hits"": 0, ""penalties"": -2}"
NATERA,Lead Machine Learning and Bioinformatics Scientist,"San Carlos, CA",onsite,2026-01-27,greenhouse,https://job-boards.greenhouse.io/natera/jobs/5779892004,26,targeted_list_combined.json,"[""title_match"", ""weak_domain_signal""]","{""title_bonus"": 5, ""freshness_bonus"": 11, ""strong_hits"": 1, ""medium_hits"": 2, ""nice_hits"": 1, ""penalties"": 0}"
NATERA,Principal AI/ML Platform Engineer,US Remote,remote,2026-01-27,greenhouse,https://job-boards.greenhouse.io/natera/jobs/5718942004,11,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 2, ""nice_hits"": 1, ""penalties"": 0}"
NATERA,Senior/Lead Bioinformatics Scientist (Epigenomics),"San Carlos, CA",onsite,2026-01-27,greenhouse,https://job-boards.greenhouse.io/natera/jobs/5737298004,21,targeted_list_combined.json,"[""title_match"", ""weak_domain_signal""]","{""title_bonus"": 5, ""freshness_bonus"": 11, ""strong_hits"": 0, ""medium_hits"": 2, ""nice_hits"": 1, ""penalties"": 0}"
NATERA,Senior Software Engineer - Production Bioinformatics,US Remote,remote,2026-01-27,greenhouse,https://job-boards.greenhouse.io/natera/jobs/5748197004,25,targeted_list_combined.json,"[""title_match"", ""weak_domain_signal""]","{""title_bonus"": 5, ""freshness_bonus"": 5, ""strong_hits"": 2, ""medium_hits"": 3, ""nice_hits"": 0, ""penalties"": -2}"
NATERA,Sr. Translational Medical Scientist,"San Carlos, CA",onsite,2026-01-27,greenhouse,https://job-boards.greenhouse.io/natera/jobs/5712882004,7,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 2, ""nice_hits"": 0, ""penalties"": -2}"
NATERA,Staff Pathologist,"Austin, TX",onsite,2026-01-27,greenhouse,https://job-boards.greenhouse.io/natera/jobs/5695391004,5,targeted_list_combined.json,"[""weak_domain_signal""]","{""title_bonus"": 0, ""freshness_bonus"": 5, ""strong_hits"": 0, ""medium_hits"": 1, ""nice_hits"": 0, ""penalties"": -2}"
