company_name
GENENTECH
VERTEX PHARMACEUTICALS
REGENERON
MODERNA
BROAD INSTITUTE
ILLUMINA
GINKGO BIOWORKS
TEMPUS
INSITRO
RECURSION PHARMACEUTICALS
GENERATE BIOMEDICINES
NEWLIMIT
ALTOS LABS
CALICO LIFE SCIENCES
DNANEXUS
GUARDANT HEALTH
NATERA
10X GENOMICS
PACIFIC BIOSCIENCES
TWIST BIOSCIENCE
GRAIL
SOPHIA GENETICS
QIAGEN
ROCHE
AMGEN
PFIZER
MERCK
NOVARTIS
ASTRAZENECA
BRISTOL MYERS SQUIBB
TAKEDA
SANOFI
ABBVIE
BIOGEN
FREENOME
DENALI THERAPEUTICS
ALNYLAM PHARMACEUTICALS
BLUEPRINT MEDICINES
IONIS PHARMACEUTICALS
EXACT SCIENCES
PERSONALIS
FATE THERAPEUTICS
BEAM THERAPEUTICS
EDITAS MEDICINE
INTELLIA THERAPEUTICS
CRISPR THERAPEUTICS
SANGAMO THERAPEUTICS
VIR BIOTECHNOLOGY
SEAGEN
BENCHLING
GENEWIZ
EUROFINS GENOMICS
CELLARITY
CATALENT
LONZA
CHARLES RIVER LABORATORIES
EVOTEC
EXELIXIS
SAREPTA THERAPEUTICS
UNITY BIOTECHNOLOGY
BIOHAVEN
HORIZON THERAPEUTICS
ZAI LAB
